Date,Campaign type,Impressions,Clicks,Cost,Conversions,Revenue
22-02-2024,Search Network,10848,654,1695.5,45.2,7885.3
22-02-2024,YouTube,18959,4,71.5,0.8,45.1
23-02-2024,Cross-network,421474,2206,3354.8,53.6,13397.2
23-02-2024,Display Network,12,0,0,0,0
23-02-2024,Search Network,9972,532,1283.8,26.1,3750.3
23-02-2024,YouTube,19278,4,72,0,0
24-02-2024,Cross-network,385761,2184,2573.3,30.7,6647.8
24-02-2024,Display Network,4,0,0,0,0
24-02-2024,Search Network,7116,354,576.6,13.7,1832.2
24-02-2024,YouTube,19468,0,71.6,0.8,117.2
25-02-2024,Cross-network,403544,2305,2565,37.9,9195.3
25-02-2024,Display Network,5,0,0,0,0
25-02-2024,Search Network,8816,332,658.2,12.6,2411.9
25-02-2024,YouTube,20024,1,70.5,0,0
26-02-2024,Cross-network,447108,2460,3870.8,53.3,8723.3
26-02-2024,Display Network,17,0,0.1,0,0
26-02-2024,Search Network,21576,719,1828.3,61.1,16479
26-02-2024,YouTube,18116,2,68.2,0,0
27-02-2024,Cross-network,430497,2317,3799.8,61.3,11870.4
27-02-2024,Display Network,10,0,0,0,0
27-02-2024,Search Network,20241,737,1891.1,39.5,7388.5
27-02-2024,YouTube,17060,4,67.8,0,0
28-02-2024,Cross-network,412257,2216,3383.1,48.9,8806.4
28-02-2024,Display Network,15,0,0.1,0,0
28-02-2024,Search Network,19694,850,2419.4,50.6,11906.6
28-02-2024,YouTube,16382,1,62.3,0,0
29-02-2024,Cross-network,386149,2154,3009.4,49.7,14244.1
29-02-2024,Display Network,7,0,0,0,0
29-02-2024,Search Network,23696,872,2102.8,55.5,14636.1
29-02-2024,YouTube,16946,4,63.8,0,0
01-03-2024,Cross-network,379404,2248,3156.5,57,12154.3
01-03-2024,Display Network,12,0,0,0,0
01-03-2024,Search Network,15210,709,1600.4,52.8,13754.7
01-03-2024,YouTube,16638,0,61.5,0,0
02-03-2024,Cross-network,334685,2020,2174.9,30.7,6577.5
02-03-2024,Display Network,4,0,0,0,0
02-03-2024,Search Network,10964,459,742.5,19.3,1948.2
02-03-2024,YouTube,17597,0,66,0,0
03-03-2024,Cross-network,361325,2250,2580.6,29.3,6410.6
03-03-2024,Search Network,10589,468,775.1,8.5,1313.1
03-03-2024,YouTube,17564,0,65,0,0
04-03-2024,Cross-network,447804,2472,3784.2,63.7,18638.6
04-03-2024,Display Network,8,0,0,0,0
04-03-2024,Search Network,14246,713,1853.7,30.9,8461.7
04-03-2024,YouTube,16578,8,63.8,0,0
05-03-2024,Cross-network,447590,2484,4049,47.6,13069
05-03-2024,Display Network,9,0,0,0,0
05-03-2024,Search Network,15119,745,1849.3,55.5,14919.9
05-03-2024,YouTube,15979,4,64,0,0
06-03-2024,Cross-network,416552,2418,4155,66.6,9818.5
06-03-2024,Display Network,14,0,0.1,0,0
06-03-2024,Search Network,16005,768,2035,46.2,12793.5
06-03-2024,YouTube,16069,2,63.8,0,0
07-03-2024,Cross-network,380203,2197,3444.8,56.5,11075.8
07-03-2024,Display Network,12,0,0,0,0
07-03-2024,Search Network,14908,782,2152.8,40.3,7915.2
07-03-2024,YouTube,16064,2,64.5,0,0
08-03-2024,Cross-network,355112,2071,3284.9,64.1,12526.2
08-03-2024,Display Network,5,0,0,0,0
08-03-2024,Search Network,13025,714,2081.6,42.1,11729.1
08-03-2024,YouTube,16336,0,63.9,0,0
09-03-2024,Cross-network,364769,2176,2474.5,28.3,7811.5
09-03-2024,Display Network,4,0,0,0,0
09-03-2024,Search Network,11493,575,1013.8,13.5,1674.5
09-03-2024,YouTube,16632,1,64.7,0,0
10-03-2024,Cross-network,339316,1912,2157.5,32.8,14938.1
10-03-2024,Display Network,4,0,0,0,0
10-03-2024,Search Network,10788,463,695.7,7.7,1239.1
10-03-2024,YouTube,16340,0,63.7,0,0
11-03-2024,Cross-network,417931,2297,4435.7,62.6,10662.6
11-03-2024,Display Network,7,0,0,0,0
11-03-2024,Search Network,12582,700,2016.5,52.9,14020.1
11-03-2024,YouTube,11586,6,50.2,0,0
12-03-2024,Cross-network,391023,2312,3863.8,76.4,17568.2
12-03-2024,Search Network,8191,535,1773.4,47.4,13421.1
12-03-2024,YouTube,9784,4,46.4,0,0
13-03-2024,Cross-network,392142,2234,3588.9,55.2,11360.9
13-03-2024,Search Network,7276,519,1419.8,42,8658.7
13-03-2024,YouTube,10730,3,46.6,0,0
14-03-2024,Cross-network,403896,2248,3859.7,55.9,10749.5
14-03-2024,Display Network,175,0,0.6,0,0
14-03-2024,Search Network,8093,526,1479.4,38.9,7475
14-03-2024,YouTube,15152,6,74.2,0,0
15-03-2024,Cross-network,385330,2220,3802.9,39.6,6268.1
15-03-2024,Display Network,163,0,0.8,0,0
15-03-2024,Search Network,7832,463,988.5,27.6,4907.1
15-03-2024,YouTube,16963,3,76.1,0,0
16-03-2024,Cross-network,327114,1910,2269,40.9,12465.7
16-03-2024,Display Network,5,0,0,0,0
16-03-2024,Search Network,6476,366,650.8,13.3,2652.4
16-03-2024,YouTube,14626,5,79.6,0,0
17-03-2024,Cross-network,326544,1958,2103.8,28.6,4665.9
17-03-2024,Search Network,5552,386,711.4,12,1391.8
17-03-2024,YouTube,14668,1,68,0,0
18-03-2024,Cross-network,417383,2391,3724.9,71.4,13380.6
18-03-2024,Display Network,17,0,0.1,0,0
18-03-2024,Search Network,6633,568,1535.6,53.6,15754
18-03-2024,YouTube,13521,1,55.2,0,0
19-03-2024,Cross-network,394153,2322,4047.6,59.9,14478.5
19-03-2024,Display Network,85,0,0.6,0,0
19-03-2024,Search Network,9054,566,1577.2,43.5,8070.2
19-03-2024,YouTube,13188,2,56.1,0,0
20-03-2024,Cross-network,333646,1984,3396.8,50.1,9415
20-03-2024,Display Network,34,0,0.3,0,0
20-03-2024,Search Network,7567,544,1621.5,38.2,6950.9
20-03-2024,YouTube,15328,1,68.9,0,0
21-03-2024,Cross-network,356542,2067,3525.3,70.3,16141.4
21-03-2024,Display Network,86,0,0.6,0,0
21-03-2024,Search Network,7212,572,1709.1,44.8,8403
21-03-2024,YouTube,13821,3,61.8,0,0
22-03-2024,Cross-network,323992,1967,2948.8,47.1,9845.6
22-03-2024,Display Network,1,0,0,0,0
22-03-2024,Search Network,6881,462,1252.1,39.1,9628
22-03-2024,YouTube,13506,2,62.2,0,0
23-03-2024,Cross-network,304332,1867,2142.8,33.5,4019
23-03-2024,Search Network,6126,355,663.3,7.8,1424.2
23-03-2024,YouTube,13576,4,67.7,0,0
24-03-2024,Cross-network,278556,1666,1762.1,23.1,2827.2
24-03-2024,Search Network,4052,299,524.6,10.6,4553.6
24-03-2024,YouTube,12893,4,62.5,0,0
25-03-2024,Cross-network,367339,2139,3161.7,73.5,13788.9
25-03-2024,Display Network,66,1,0.6,0,0
25-03-2024,Search Network,5584,426,1144.7,36,8945.9
25-03-2024,YouTube,11779,4,51,0,0
26-03-2024,Cross-network,399645,2423,3583.8,50.4,14138.6
26-03-2024,Display Network,80,0,0.7,0,0
26-03-2024,Search Network,6384,482,1373.2,41.1,9170.9
26-03-2024,YouTube,13128,2,52.6,0,0
27-03-2024,Cross-network,337767,1992,3024.3,50.4,17387.5
27-03-2024,Display Network,114,0,0.7,0,0
27-03-2024,Search Network,6995,516,1410.6,49.6,13318.4
27-03-2024,YouTube,14872,2,63.8,0,0
28-03-2024,Cross-network,426606,2437,3832.7,67.6,16790.1
28-03-2024,Display Network,14,0,0.1,0,0
28-03-2024,Search Network,8577,554,1503.4,46.6,9480.2
28-03-2024,YouTube,14395,2,60.4,0,0
29-03-2024,Cross-network,341998,1894,2896.2,57.5,14586.5
29-03-2024,Display Network,104,0,0.7,0,0
29-03-2024,Search Network,6216,439,1208.1,33,6762
29-03-2024,YouTube,12978,1,57.5,0,0
30-03-2024,Cross-network,304688,1872,2311.3,30.5,4442.5
30-03-2024,Display Network,6,0,0.1,0,0
30-03-2024,Search Network,5177,326,682.4,12.3,2142.3
30-03-2024,YouTube,12450,1,61.4,0,0
31-03-2024,Cross-network,283899,1710,1798,25.2,4482
31-03-2024,Display Network,33,0,0.3,0,0
31-03-2024,Search Network,4987,283,523,9.8,994.1
31-03-2024,YouTube,11972,4,52.8,0,0
01-04-2024,Cross-network,370452,2300,3849.8,75.7,13273.1
01-04-2024,Display Network,164,0,1.3,0,0
01-04-2024,Search Network,14012,529,1447.1,51.6,11365.2
01-04-2024,YouTube,15473,3,56.2,0,0
02-04-2024,Cross-network,391407,2399,3514.9,51,7951.9
02-04-2024,Display Network,138,0,1,0,0
02-04-2024,Search Network,8096,528,1318.7,35,9877.5
02-04-2024,YouTube,16696,5,59.8,0,0
03-04-2024,Cross-network,393367,2379,3529.3,58.7,10727.3
03-04-2024,Display Network,20,0,0.2,0,0
03-04-2024,Search Network,7905,543,1510.3,44.5,10779.8
03-04-2024,YouTube,18488,1,70,0,0
04-04-2024,Cross-network,413548,2469,3684.5,56.2,16026.7
04-04-2024,Display Network,16,0,0.1,0,0
04-04-2024,Search Network,9299,593,1451.2,38.7,8833.5
04-04-2024,YouTube,18492,0,67.9,0,0
05-04-2024,Cross-network,360305,2176,3313.7,45.9,9916.8
05-04-2024,Display Network,36,0,0.2,0,0
05-04-2024,Search Network,7622,479,1215.5,36.6,8384
05-04-2024,YouTube,18104,2,69.6,0,0
06-04-2024,Cross-network,292244,1717,1946.7,34.8,3861.2
06-04-2024,Display Network,136,1,1.2,0,0
06-04-2024,Search Network,5382,321,581.5,6.5,849.3
06-04-2024,YouTube,19542,6,94.8,0,0
07-04-2024,Cross-network,278691,1748,1954.4,35,14537
07-04-2024,Display Network,4,0,0,0,0
07-04-2024,Search Network,5060,270,479.2,6.7,1233.5
07-04-2024,YouTube,16463,3,68.4,0,0
08-04-2024,Cross-network,328165,1889,3182.3,49.6,10352.1
08-04-2024,Display Network,116,0,0.7,0,0
08-04-2024,Search Network,5548,394,1038.1,33.3,10665.9
08-04-2024,YouTube,14205,4,54.2,0,0
09-04-2024,Cross-network,384192,2243,4074.5,71.5,16556.4
09-04-2024,Display Network,82,0,0.5,0,0
09-04-2024,Search Network,6548,450,1440.3,45.3,12877.7
09-04-2024,YouTube,15693,1,58.4,0,0
10-04-2024,Cross-network,414864,2446,4291.6,72.7,16885.4
10-04-2024,Display Network,48,0,0.4,0,0
10-04-2024,Search Network,7872,513,1552.9,43.3,8788
10-04-2024,YouTube,18135,1,71.3,0,0
11-04-2024,Cross-network,479903,2764,4310.4,59.2,12927.1
11-04-2024,Display Network,41,0,0.3,0,0
11-04-2024,Search Network,9757,567,1409.8,46.3,10945
11-04-2024,YouTube,17756,2,68,0,0
12-04-2024,Cross-network,433982,2536,3976.9,52.2,24422.7
12-04-2024,Display Network,38,0,0.3,0,0
12-04-2024,Search Network,9858,502,1468.8,31.4,7777.1
12-04-2024,YouTube,16840,2,66.7,0,0
13-04-2024,Cross-network,360842,2088,2709.5,28.2,8799.8
13-04-2024,Search Network,5418,300,714.7,8.1,1239.8
13-04-2024,YouTube,15864,8,71.9,0,0
14-04-2024,Cross-network,341332,2035,2554.7,22,7185.8
14-04-2024,Search Network,4901,266,448.5,8.6,1194.4
14-04-2024,YouTube,15005,3,67.6,0,0
15-04-2024,Cross-network,429097,2372,4167.7,58,9877.2
15-04-2024,Display Network,48,0,0.4,0,0
15-04-2024,Search Network,6314,434,1250.3,52,10982.3
15-04-2024,YouTube,13815,1,55.6,0,0
16-04-2024,Cross-network,449371,2532,4440.3,59.7,11424.2
16-04-2024,Display Network,175,1,0.9,0,0
16-04-2024,Search Network,7199,446,1254.6,32.3,10635.7
16-04-2024,YouTube,15123,3,59.7,0,0
17-04-2024,Cross-network,452924,2626,4476.1,52.1,9801.7
17-04-2024,Display Network,56,0,0.3,0,0
17-04-2024,Search Network,7918,533,1539.9,53.7,14305
17-04-2024,YouTube,16267,1,66.8,0,0
18-04-2024,Cross-network,415445,2393,3947.5,67.7,20230.6
18-04-2024,Display Network,36,0,0.3,0,0
18-04-2024,Search Network,8592,532,1697.2,30.5,7324.4
18-04-2024,YouTube,16094,2,64.5,0,0
19-04-2024,Cross-network,389964,2242,3230.2,45.9,12575.1
19-04-2024,Display Network,28,0,0.3,0,0
19-04-2024,Search Network,8149,471,1536.8,33.1,6797.2
19-04-2024,YouTube,15923,5,64,0,0
20-04-2024,Cross-network,353129,2127,2469.5,29.6,5840.9
20-04-2024,Display Network,16,0,0.2,0,0
20-04-2024,Search Network,5625,312,573.2,12.8,1906.9
20-04-2024,YouTube,16710,5,71.1,0,0
21-04-2024,Cross-network,349459,2122,2546.2,24.2,3830.1
21-04-2024,Search Network,5365,294,596.4,7.5,1129.1
21-04-2024,YouTube,14292,9,66.4,0,0
22-04-2024,Cross-network,486304,2658,4908,55.7,15505.7
22-04-2024,Display Network,37,0,0.3,0,0
22-04-2024,Search Network,12880,531,1430.6,43,10242.9
22-04-2024,YouTube,12672,4,53.3,0,0
23-04-2024,Cross-network,436130,2447,3601.6,58.7,13147.4
23-04-2024,Display Network,41,0,0.1,0,0
23-04-2024,Search Network,10133,545,1761.4,44,15624.1
23-04-2024,YouTube,12857,1,55.5,0,0
24-04-2024,Cross-network,452516,2663,3925.1,36.9,10064.5
24-04-2024,Display Network,97,0,0.8,0,0
24-04-2024,Search Network,9613,598,1959.9,40.4,8855.3
24-04-2024,YouTube,14948,3,66.8,0,0
25-04-2024,Cross-network,376539,2272,3696.3,46.8,11472.4
25-04-2024,Display Network,49,0,0.4,0,0
25-04-2024,Search Network,10074,530,1832.3,50,13571.4
25-04-2024,YouTube,14527,1,62.1,0,0
26-04-2024,Cross-network,343674,1994,2957,50.5,10558.6
26-04-2024,Display Network,32,0,0.2,0,0
26-04-2024,Search Network,8644,524,1749.4,28.4,5610.3
26-04-2024,YouTube,13984,4,60.9,0,0
27-04-2024,Cross-network,301283,1796,1911.4,25.6,4109.7
27-04-2024,Display Network,19,0,0.1,0,0
27-04-2024,Search Network,6059,359,817.1,16.5,3813.8
27-04-2024,YouTube,14860,0,66.6,0,0
28-04-2024,Cross-network,332420,1960,2225.1,23.2,6278.4
28-04-2024,Search Network,9314,314,658.3,8.5,1309.8
28-04-2024,YouTube,13148,2,61.8,0,0
29-04-2024,Cross-network,487971,2796,5100.1,58.9,18015.5
29-04-2024,Display Network,107,0,0.9,0,0
29-04-2024,Search Network,9420,644,2418.1,51.3,11769.3
29-04-2024,YouTube,11632,7,48.6,0,0
30-04-2024,Cross-network,475988,2672,4386.8,63.8,13297.7
30-04-2024,Display Network,23,0,0.2,0,0
30-04-2024,Search Network,10775,584,2180,57.3,11675.7
30-04-2024,YouTube,12924,0,56,0,0
01-05-2024,Cross-network,410081,2267,4060.6,59.7,16304.6
01-05-2024,Display Network,17,0,0.1,0,0
01-05-2024,Search Network,9643,524,1759,53.1,11227.7
01-05-2024,YouTube,14744,0,59.2,0,0
02-05-2024,Cross-network,422080,2436,4076,49.3,11163.2
02-05-2024,Display Network,33,0,0.2,0,0
02-05-2024,Search Network,9468,531,1939.8,38,7556.9
02-05-2024,YouTube,15819,6,60.8,0,0
03-05-2024,Cross-network,363841,2064,2907.6,46.3,9243
03-05-2024,Display Network,61,0,0.4,0,0
03-05-2024,Search Network,8127,486,1782.2,30.7,9607
03-05-2024,YouTube,16262,2,65,0,0
04-05-2024,Cross-network,333404,1965,2443.6,31,5278.9
04-05-2024,Display Network,4,0,0.1,0,0
04-05-2024,Search Network,6384,354,1055.7,14.7,1696.6
04-05-2024,YouTube,15512,5,68.2,0,0
05-05-2024,Cross-network,381812,2180,2397.7,26,4083.9
05-05-2024,Display Network,8,0,0.1,0,0
05-05-2024,Search Network,6306,337,672.1,13,1192.6
05-05-2024,YouTube,16935,7,67.4,0,0
06-05-2024,Cross-network,528157,2839,4570.9,50.4,8934.5
06-05-2024,Display Network,64,0,0.4,0,0
06-05-2024,Search Network,10449,616,2457.3,46.4,9781.6
06-05-2024,YouTube,14200,0,54.4,0,0
07-05-2024,Cross-network,448991,2316,3857.1,55.7,12076.6
07-05-2024,Display Network,30,1,0.2,0,0
07-05-2024,Search Network,9554,544,1831.6,39.4,7748.4
07-05-2024,YouTube,14274,0,57.1,0,0
08-05-2024,Cross-network,342160,1998,3199.6,45.8,10469
08-05-2024,Display Network,70,0,0.5,0,0
08-05-2024,Search Network,9048,543,2026.7,53,15533.3
08-05-2024,YouTube,16504,6,66.2,0,0
